Rank,Category,Similarity_Score,Extracted_Skills,Matched_Skills,Missing_Skills,Matched_Skill_Count,Final_Score
1,ENGINEERING,28.654404306746727,"['sql', 'data analysis', 'machine learning', 'data visualization', 'python', 'pandas']","['sql', 'data analysis', 'machine learning', 'data visualization', 'python', 'pandas']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'pytorch', 'data science', 'deep learning', 'natural language processing']",6,32.05808301472271
2,CONSULTANT,26.22084304377071,"['sql', 'data analysis', 'machine learning', 'data science', 'data visualization', 'python']","['sql', 'data analysis', 'machine learning', 'data science', 'data visualization', 'python']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'pytorch', 'deep learning', 'natural language processing', 'pandas']",6,30.354590130639497
3,AUTOMOBILE,18.625669055368217,"['numpy', 'sql', 'data analysis', 'data science', 'data visualization', 'matplotlib', 'python', 'pandas']","['numpy', 'sql', 'data analysis', 'data science', 'data visualization', 'python', 'pandas']","['scikit-learn', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'deep learning', 'natural language processing']",7,27.03796833875775
4,AGRICULTURE,20.85459784986763,"['sql', 'tensorflow', 'keras', 'data visualization', 'python', 'pandas']","['sql', 'tensorflow', 'data visualization', 'python', 'pandas']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'machine learning', 'pytorch', 'data science', 'deep learning', 'natural language processing']",5,24.59821849490734
5,BANKING,24.76949925839932,"['machine learning', 'sql', 'python']","['machine learning', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,23.338649480879525
6,AUTOMOBILE,19.071970972482298,"['machine learning', 'sql', 'python', 'data analysis']","['machine learning', 'sql', 'python', 'data analysis']","['numpy', 'scikit-learn', 'nlp', 'git', 'tensorflow', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",4,21.350379680737607
7,AGRICULTURE,18.67365857431002,"['sql', 'data science', 'matplotlib', 'python', 'pandas']","['data science', 'sql', 'python', 'pandas']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'deep learning', 'data visualization', 'natural language processing']",4,21.071561002017013
8,ENGINEERING,8.415647756035394,"['sql', 'git', 'tensorflow', 'machine learning', 'matplotlib', 'python', 'pandas']","['sql', 'git', 'tensorflow', 'machine learning', 'python', 'pandas']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing']",6,17.890953429224776
9,ARTS,25.44008241813605,[],[],"['numpy', 'scikit-learn', 'sql', 'data analysis', 'nlp', 'git', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'python', 'pandas']",0,17.808057692695233
10,DIGITAL-MEDIA,14.076034425674386,"['git', 'sql', 'python']","['git', 'sql', 'python']","['numpy', 'scikit-learn', 'data analysis', 'nlp', 'tensorflow', 'machine learning', 'pytorch', 'data science', 'deep learning', 'data visualization', 'natural language processing', 'pandas']",3,15.85322409797207
